a0ti1,b1to2,c2to5,d5to15,e15to100
3963.22904,7931.334999,23000.29165,11119.48298,3776.798466
3875.893489,7756.556384,22493.44665,10874.449,3693.571364
5262.024677,10530.52515,30537.75,14763.46372,5014.496016
6557.04837,13122.16677,38053.31817,18396.86165,6248.599061
7014.70306,14038.03954,40709.28117,19680.88573,6684.724707
10950.18935,21913.85687,63548.56638,30722.52754,10435.07741
6134.480397,12276.51062,35600.97816,17211.27901,5845.909576
7057.127553,14122.94075,40955.48838,19799.91449,6725.153463
9781.04311,19574.12513,56763.51812,27442.29912,9320.930283
9181.253319,18373.80717,53282.68523,25759.49207,8749.355869
5410.514632,10827.68786,31399.49978,15180.07624,5156.00069
10538.8535,21090.67881,61161.41114,29568.45845,10043.09167
8636.59476,17283.81956,50121.80211,24231.3646,8230.319198
5358.387602,10723.36962,31096.98465,15033.82545,5106.325824
5978.044202,11963.44565,34693.11301,16772.37203,5696.83247
4696.454272,9398.688096,27255.50662,13176.66468,4475.531236
624.1974963,1249.161417,3622.484647,1751.2912,594.8420144
4603.671149,9213.00763,26717.04707,12916.34666,4387.112827
1531.755165,3065.393999,8889.424214,4297.590684,1459.706255
2840.052581,5683.599402,16482.02539,7968.23019,2706.458599
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
644.8127374,1290.417278,3742.123578,1809.130586,614.4874711
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
2270.600812,4543.994844,13177.25683,6370.541366,2163.795043
3632.960101,7270.390546,21083.60183,10192.86018,3462.066075
3211.277463,6426.506159,18636.3998,9009.761496,3060.220278
3103.153709,6210.125548,18008.9121,8706.402859,2957.182895
1375.336134,2752.363378,7981.658668,3858.731853,1310.645506
1659.701606,3321.444388,9631.951321,4656.565068,1581.633825
836.1590167,1673.345392,4852.586663,2345.983448,796.8324176
136.4860702,273.1381709,792.0897363,382.9380971,130.0735632
178.9361997,358.0906879,1038.445725,502.0387853,170.5267491
135.2160884,270.5966439,784.7194971,379.3749584,128.8633241
120.8364726,241.8197105,701.2685278,339.0306261,115.1601558
175.5326221,351.2793427,1018.69333,492.4894991,167.2832829
130.7073394,261.5735956,758.553327,366.7249356,124.5666762
107.1745059,214.4789585,621.9823781,300.6997739,102.1408768
160.1577087,320.5105887,929.4662291,449.3526986,152.6316379
141.2688301,282.7095785,819.8461076,396.3569019,134.6313321
208.1210428,416.4963019,1207.817667,583.9215718,198.3386755
162.9490531,326.0967139,945.665577,457.1842658,155.2916716
728.2677879,1457.430116,4226.448401,2043.277196,694.0166199
1925.377119,3853.122473,11173.77827,5401.960591,1834.811402
